industry_id,industry_descr,term,estimate,std.error,conf.low,conf.high,p.value
81,Processing of nuclear fuel,igad_to_af,0.30405548540554966,0.06101635639276232,0.18446562440787523,0.4236453464032241,6.254772260780017e-7
81,Processing of nuclear fuel,af_to_igad,0.1623102031347044,0.05503362330991691,0.05444628350852328,0.27017412276088554,0.0031850329708174854
82,Basic chemicals except fertilizers,igad_to_af,-0.31602684038133866,0.03932803374064155,-0.39310837009577215,-0.23894531066690516,9.30739504524474e-16
82,Basic chemicals except fertilizers,af_to_igad,-0.1398553166601691,0.02251894552614838,-0.1839916388612393,-0.0957189944590989,5.279530201046632e-10
83,Fertilizers and nitrogen compounds,igad_to_af,0.35502163701047135,0.034701243111116824,0.28700845029391375,0.42303482372702894,1.4431535414368057e-24
83,Fertilizers and nitrogen compounds,af_to_igad,-0.11940542708609991,0.02974403006573905,-0.17770265477002498,-0.06110819940217485,5.958877152132203e-5
84,Plastics in primary forms; synthetic rubber,igad_to_af,0.23047772537507671,0.02181909341070449,0.1877130881147807,0.2732423626353727,4.4172579014819326e-26
84,Plastics in primary forms; synthetic rubber,af_to_igad,-0.24211924495731374,0.017908041416554457,-0.2772183611674121,-0.20702012874721537,1.1894760249399274e-41
85,Pesticides and other agro-chemical products,igad_to_af,0.2788917355757261,0.03177127306508742,0.2166211846251673,0.34116228652628494,1.6624436973383742e-18
85,Pesticides and other agro-chemical products,af_to_igad,-0.1598743152440547,0.01982354923484615,-0.1987277577901097,-0.12102087269799972,7.331481559083263e-16
86,Paints varnishes printing ink and mastics,igad_to_af,-0.48528063520151576,0.03138144812466016,-0.5467871433085617,-0.4237741270944698,6.077117954691197e-54
86,Paints varnishes printing ink and mastics,af_to_igad,-0.23412392421579656,0.02084217062286365,-0.27497382799624803,-0.19327402043534508,2.8019798034037194e-29
87,Pharmaceuticals medicinal chemicals etc.,igad_to_af,-0.15026186167196792,0.03441681045722559,-0.21771757063087158,-0.08280615271306427,1.2657499936310099e-5
87,Pharmaceuticals medicinal chemicals etc.,af_to_igad,-0.2485171804292664,0.026284255987733172,-0.3000333755256547,-0.19700098533287813,3.230760034366465e-21
